date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-01-01,6.3,-0.6,13.9,0,,,2.8,,1019.2,
2015-01-02,7.2,0,15,0,,,2.2,,1019.2,
2015-01-03,8.3,1.7,16.1,0,,,2.6,,1022.5,
2015-01-04,11.9,3.3,20.6,0,,,5.2,,1024.9,
2015-01-05,18.9,15,24.4,0,,354,22.7,,1022,
2015-01-06,17.6,9.4,27.2,0,,,9.3,,1021.1,
2015-01-07,17.9,8.3,28.3,0,,,4.8,,1018.9,
2015-01-08,15.4,9.4,23.3,0,,,3.6,,1016.5,
2015-01-09,15.3,11.7,21.1,0,,,4.7,,1015.4,
2015-01-10,12.5,10.6,15,,,,2,,,
2015-01-11,14.2,12.2,16.7,9.3,,,4.7,,,
2015-01-12,13.2,7.8,18.3,0,,,4.9,,1019.6,
2015-01-13,14,7.8,20.6,0,,,9.4,,1018.3,
2015-01-14,14.9,8.9,21.7,0,,,10,,1020.5,
2015-01-15,13.9,6.1,21.7,0,,,7.2,,1022.9,
2015-01-16,14.3,6.1,23.9,0,,,3.5,,1020.5,
2015-01-17,17.1,10,25.6,0,,,6.2,,1020.6,
2015-01-18,15.6,10.6,23.9,0,,,1.9,,1021.9,
2015-01-19,14.7,8.3,23.3,0,,,2.7,,1018.9,
2015-01-20,12.9,8.9,18.3,0,,,2.7,,1014.9,
2015-01-21,15.2,10,23.3,0,,,10.2,,,
2015-01-22,17.2,11.7,22.2,0,,358,16,,1021.5,
2015-01-23,17.8,10,24.4,0,,,13.6,,1021.9,
2015-01-24,20.5,15,25,0,,9,30.6,,1017.5,
2015-01-25,19.2,10,26.7,0,,,6.9,,1016,
2015-01-26,16.8,13.3,23.9,,,,5.4,,1016.4,
2015-01-27,15.8,12.2,21.1,0.3,,,2.9,,1020.8,
2015-01-28,16.7,11.1,22.2,0,,,10,,1019.6,
2015-01-29,19.1,16.7,23.3,0,,26,12.9,,1016.3,
2015-01-30,16.4,12.8,20.6,,,,8.3,,1012,
2015-01-31,16.3,11.1,22.2,0,,,8.3,,1011.9,
2015-02-01,17.1,10,24.4,0,,,3.4,,1017.4,
2015-02-02,16.5,8.9,26.1,0,,,2,,1017.3,
2015-02-03,16,8.9,25,0,,,4,,1017.1,
2015-02-04,15.7,7.2,26.7,0,,,1.9,,1018.1,
2015-02-05,17.6,9.4,28.3,0,,,2.7,,1016.8,
2015-02-06,16.1,9.4,25,0,,,4.6,,1018.5,
2015-02-07,14,10,18.3,1.1,,,1.4,,1020.5,
2015-02-08,17.7,12.8,24.4,0,,,4.3,,1019.7,
2015-02-09,18.5,14.4,23.9,0,,,6.8,,1018.5,
2015-02-10,20.5,15,27.2,0,,1,18.6,,1013.9,
2015-02-11,21.9,12.2,27.2,0,,,19.1,,1016,
2015-02-12,22.3,17.2,28.9,0,,,12.6,,1018,
2015-02-13,20.6,11.1,30,0,,,4.1,,1016.7,
2015-02-14,19.4,10.6,28.3,0,,,5.4,,1016.5,
2015-02-15,18.1,8.9,26.1,0,,,3.7,,1014.1,
2015-02-16,16.3,9.4,23.9,0,,,7.2,,1014.5,
2015-02-17,16.7,13.3,23.3,0,,,3.3,,1017.8,
2015-02-18,16.3,10,25.6,0,,,4.1,,1018.9,
2015-02-19,16.1,10,25.6,0,,,4,,1017.4,
2015-02-20,15.1,10.6,22.2,0,,,3.6,,1014.5,
2015-02-21,14.9,12.2,18.9,0,,,7.1,,1012.9,
2015-02-22,13,11.7,15,,,155,9.8,,1010.6,
2015-02-23,11.8,8.9,17.2,,,,5.2,,1015.4,
2015-02-24,15.1,8.9,21.7,0,,,12.5,,1022,
2015-02-25,14.6,7.2,22.2,0,,,3.3,,1019.2,
2015-02-26,14.3,7.2,21.1,0,,,5.5,,1012.1,
2015-02-27,14,10.6,16.7,0,,,6.9,,1008.5,
2015-02-28,13.1,10,16.7,0.3,,,8.6,,1009.2,
2015-03-01,11.3,8.9,16.7,,,,8.4,,1012.8,
2015-03-02,10.3,6.7,15,,,,4.3,,,
2015-03-03,12.2,6.1,18.3,0,,,5.1,,1013.1,
2015-03-04,14.5,6.7,22.2,0,,,7.8,,1017.2,
2015-03-05,15.7,6.7,24.4,0,,,6,,1022.2,
2015-03-06,21.3,16.1,27.2,0,,8,27,,1018.1,
2015-03-07,21.8,13.3,29.4,0,,,8.4,,1014.9,
2015-03-08,18.1,10,26.1,0,,,6.4,,1014.6,
2015-03-09,17.2,11.1,25.6,0,,,3,,1013.4,
2015-03-10,18.8,10,28.3,0,,,3.4,,1013.8,
2015-03-11,18.9,15.6,22.2,0,,,3.8,,1017.3,
2015-03-12,22.5,14.4,30,0,,,17.8,,1016.6,
2015-03-13,25.2,20.6,31.1,0,,7,21.9,,1016.4,
2015-03-14,24.1,15,32.8,0,,,5.1,,1016.8,
2015-03-15,23.3,16.1,31.7,0,,,5.2,,1015.7,
2015-03-16,23.5,15.6,30.6,0,,,6.3,,1012.7,
2015-03-17,20.8,14.4,27.2,0,,,6,,1012.9,
2015-03-18,18.4,16.1,21.7,0.3,,,8.8,,1013.6,
2015-03-19,18.9,13.3,25.6,0,,,6,,1014.6,
2015-03-20,20,12.8,28.9,0,,,4.7,,1016.7,
2015-03-21,18.7,15,25,0,,,7.9,,1018.3,
2015-03-22,17.1,15,22.2,0,,,9,,1020.2,
2015-03-23,17.9,11.1,23.9,0,,,6.6,,1019.5,
2015-03-24,20.3,15,27.2,0,,344,25,,1016.8,
2015-03-25,22.8,13.9,31.1,0,,,10.5,,1016,
2015-03-26,23.6,13.9,32.8,0,,,7.7,,1016.9,
2015-03-27,23.8,15,32.8,0,,,5.7,,1016.7,
2015-03-28,21.8,13.3,30.6,0,,,4.9,,1016.5,
2015-03-29,20.8,12.2,28.9,0,,,5.6,,1015.7,
2015-03-30,20.5,12.8,30,0,,,5.6,,1014.8,
2015-03-31,19,13.3,26.1,0,,,7.1,,1014.2,
2015-04-01,19.7,14.4,23.9,0,,,13.3,,1013.3,
2015-04-02,18.8,13.9,25.6,0,,29,16.7,,1014.2,
2015-04-03,21.1,13.3,28.3,0,,,11.4,,1016,
2015-04-04,20.1,11.7,28.3,0,,,5.8,,1012.4,
2015-04-05,16.3,11.7,21.1,0,,,10.6,,1010.8,
2015-04-06,13.9,10.6,17.8,0,,,10.5,,1013.1,
2015-04-07,11.8,8.3,16.1,,,,6.2,,1015.9,
2015-04-08,13.9,7.8,20.6,0,,,12.4,,1016.3,
2015-04-09,16.2,8.3,24.4,0,,,7.5,,1013.6,
2015-04-10,15.9,9.4,22.8,0,,,6.1,,1014.5,
2015-04-11,17.4,10.6,22.8,0,,,7.7,,1012.8,
2015-04-12,18.9,11.1,27.2,0,,,7.1,,1013,
2015-04-13,18.6,13.3,26.7,0,,,6.7,,1016.6,
2015-04-14,18.7,11.7,27.8,0,,,10.1,,1016.1,
2015-04-15,20.9,15.6,27.2,0,,1,24.2,,1012.8,
2015-04-16,21.5,17.2,27.2,0,,,15.6,,1014.1,
2015-04-17,20.1,11.1,28.9,0,,,8.3,,1015.7,
2015-04-18,20.4,12.2,28.3,0,,,5.6,,1014.3,
2015-04-19,19.5,12.2,27.2,0,,,5.1,,1012.1,
2015-04-20,16.2,11.7,22.8,0,,,8.1,,1010.9,
2015-04-21,15.4,12.2,18.3,0,,,9.3,,1012.1,
2015-04-22,15.7,12.2,18.3,0,,,6.6,,1011.7,
2015-04-23,15.1,11.1,18.9,0,,,5.1,,1011.7,
2015-04-24,15.5,13.9,17.8,0,,,7.6,,1014.1,
2015-04-25,14.8,12.2,17.8,0.3,,,6.3,,1013.2,
2015-04-26,20.4,12.8,26.1,0,,340,24.7,,1012.7,
2015-04-27,23.1,13.9,31.1,0,,,13.2,,1012.5,
2015-04-28,23.6,13.3,32.2,0,,,6.1,,1013,
2015-04-29,25.5,15.6,34.4,0,,,6.9,,1011,
2015-04-30,25.3,16.1,33.3,0,,,6,,1009.2,
2015-05-01,24.7,16.1,32.2,0,,,6.9,,1010.8,
2015-05-02,23.6,16.1,31.1,0,,,7.7,,1009.7,
2015-05-03,18.1,13.3,25,0,,,8.7,,1011.1,
2015-05-04,16,11.7,22.2,0,,,9.2,,1013,
2015-05-05,15.2,12.8,18.3,0,,,8.6,,1014.1,
2015-05-06,15.7,13.9,18.3,0,,,7.4,,1011.2,
2015-05-07,14.7,12.2,18.9,0,,185,13.8,,1010.2,
2015-05-08,12.8,9.4,15.6,,,,7.4,,1012.7,
2015-05-09,15.7,11.7,20.6,0,,,5.8,,1016.8,
2015-05-10,18.7,10.6,27.2,0,,,6.9,,1014.3,
2015-05-11,21.1,13.9,28.9,0,,,8,,1010.8,
2015-05-12,17.1,12.8,22.8,0,,146,11.2,,,
2015-05-13,16.2,12.8,20,0,,,10,,1012.9,
2015-05-14,13.5,11.7,16.7,,,,9.9,,,
2015-05-15,14.4,10.6,19.4,0,,,5.3,,1010.7,
